FID_1,Field1,a_lat,a_lon,Identifyin,Date,Time,Waypoint,Inclinomet,Sighting_S,Observer,Vessel_Sig,Number_Ves,Vessel_Act,Direction_,Associated,Animal_Sig,Number_in_,Species,School_Siz,Behavior,Notes,Line,Notes_1,Notes_Off_,Inbound_Ou,GlareL_Cat,GlareR_Cat,Sun_penetr,Air_Temp_C,Wind_direc,Wind_Speed,Cloud_Cove,location_x,location_y,Id,date_1,time_1,cdom,dist2cdom,chloro,dist2chlor,oxy,dist2oxy,salt,dist2salt,temp,dist2temp,A2011175_c,A2011176_c,A2011177_c,A2011178_c,A2011179_c,A2011180_c,A2011181_c,A2011182_c,A2011175_s,A2011176_s,A2011177_s,A2011178_s,A2011179_s,A2011180_s,A2011181_s,A2011182_s,A2011175_t,A2011176_t,A2011177_t,A2011178_t,A2011179_t,A2011180_t,A2011181_t,A2011182_t,FID_2,centroidID,cent_x,cent_y
1,2,27.988,-91.224,1120,6/30/2011,8:41:39,324,1,L,LB,Shrimp Trawler,1,Transiting,E,NA,NA,NA,NA,NA,NA,NA,Z6,NA,NA,I,1,3,NA,NA,NA,NA,2,-63.2368,-63.2368,1120,6/30/2011,0.362256944,0.21,0.41268348,1.15,0.41268348,3.62,0.41268348,34.13,0.41268348,29.52,0.41268348,0,0.158950001,0,0,0,0,0.139540002,0,28.67256737,0,29.17889977,28.68475914,0,28.45167351,29.63359451,29.86094284,0,0.04504,0,0,0,0,0.032450002,0,74,1,-91.23228333,27.949625
2,3,28.043,-91.281,1123,6/30/2011,8:42:08,327,1,L,LB,Shrimp Trawler,1,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,Z6,NA,NA,I,1,3,NA,NA,NA,NA,2,-63.2383,-63.23828333,1123,6/30/2011,0.362592593,0.21,0.35707427,1.15,0.35707427,3.59,0.35707427,34.1,0.35707427,29.51,0.35707427,0,0.189490005,0,0,0,0,0.165999994,0,28.65750694,0,28.86979294,28.6718502,27.94964409,28.25373077,29.82006264,29.43493462,0,0.048730001,0,0,0,0,0.034899998,0,104,2,-91.23228333,28.081075
3,4,28.157,-91.394,1128,6/30/2011,8:42:58,332,7,L,LB,Shrimp Trawler,1,Trawling,W,NA,NA,NA,NA,NA,NA,NA,Z6,NA,NA,I,1,3,NA,NA,NA,NA,2,-63.2377,-63.23768333,1128,6/30/2011,0.363171296,0.21,0.24460211,1.15,0.24460211,3.53,0.24460211,34.05,0.24460211,29.48,0.24460211,0,0.196099997,0,0,0,0,0.151079997,0,28.46386528,0,28.77010345,28.81887245,27.93243217,28.96732903,29.63072586,29.02470398,0,0.048220001,0,0,0,0,0.033349998,0,133,3,-91.42985,28.212525
4,5,28.248,-90.399,395,6/27/2011,7:43:23,337,90,NA,NA,Shrimp Trawler,1,Trawling,E,NA,NA,NA,NA,NA,NA,"Exact mark, 5 vessels total, 4 was approximated at 334, no animals with any of them",NA,Broke track for a shrimp trawler,Off effort,NA,2,3,NA,NA,NA,NA,1,-62.1507,-62.1507,395,6/27/2011,0.321793981,0.23,0.15471235,1.17,0.15471235,2.65,0.15471235,33.96,0.15471235,29.32,0.15471235,0,0,0,0,0,0,0.114550002,0.128969997,28.88341904,0,0,28.94868279,0,0,31.09808731,31.27021027,0,0,0,0,0,0,0.03173,0.03486,138,4,-90.44201667,28.212525
5,6,28.277,-90.421,396,6/27/2011,7:44:35,338,90,NA,NA,Shrimp Trawler,2,Trawling,E,NA,NA,NA,NA,NA,NA,"Exact mark, 5 vessels total, 4 was approximated at 334, no animals with any of them",NA,Broke track for a shrimp trawler,Off effort,NA,2,3,NA,NA,NA,NA,1,-62.1442,-62.1442,396,6/27/2011,0.322627315,0.19,0.12478962,1.15,0.12478962,2.23,0.12478962,34.79,0.12478962,29.46,0.12478962,0,0,0,0,0,0,0.144559994,0,28.76364899,0,0,29.10144424,0,28.38497543,31.11314774,31.85902023,0,0,0,0,0,0,0.034650002,0,138,5,-90.44201667,28.212525
6,7,28.277,-90.421,397,6/27/2011,7:44:35,338,90,NA,NA,Shrimp Trawler,1,Trawling,W,NA,NA,NA,NA,NA,NA,"Exact mark, 5 vessels total, 4 was approximated at 334, no animals with any of them",NA,Broke track for a shrimp trawler,Off effort,NA,2,3,NA,NA,NA,NA,1,-62.1442,-62.1442,396,6/27/2011,0.322627315,0.19,0.12478962,1.15,0.12478962,2.23,0.12478962,34.79,0.12478962,29.46,0.12478962,0,0,0,0,0,0,0.144559994,0,28.76364899,0,0,29.10144424,0,28.38497543,31.11314774,31.85902023,0,0,0,0,0,0,0.034650002,0,138,6,-90.44201667,28.212525
21,22,28.358,-93.567,903,6/29/2011,11:54:00,113,5,R,KC,Shrimp Trawler,1,Transiting,SW,NA,NA,NA,NA,NA,NA,NA,NA,On the Cross,NA,C,2,1,NA,NA,NA,NA,2,-65.2088,-65.20879046,903,6/29/2011,0.495833333,0.22,0.03640145,1.15,0.03640145,2.6,0.03640145,33.65,0.03640145,29.15,0.03640145,0,0,0,0,0,0,0.580950022,0,28.1382637,0,28.97306824,28.75145721,27.61973953,29.70674706,29.20400047,27.7352066,0,0,0,0,0,0,0.076849997,0,152,7,-93.60308333,28.343975
25,26,28.375,-93.614,902,6/29/2011,11:52:04,112,14,R,KC,Shrimp Trawler,1,Transiting,E,NA,NA,NA,NA,NA,NA,NA,NA,On the Cross,NA,C,2,1,NA,NA,NA,NA,2,-65.2386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,8,-93.60308333,28.343975
32,33,28.403,-92.782,1704,7/1/2011,11:25:02,255,5,R,LB,Shrimp Trawler,3,Unknown,NA,NA,NA,NA,NA,NA,NA,On the cross,17,NA,NA,O,3,2,NA,NA,NA,NA,1,-64.3785,-64.37847379,1704,7/1/2011,0.475717593,0.23,0.03209778,1.16,0.03209778,3.01,0.03209778,33.58,0.03209778,29.26,0.03209778,0,0,0,0,0,0,0.719250023,0,27.63264847,0,28.70770836,28.82389259,27.94390678,29.7390213,29.36823654,29.22408295,0,0,0,0,0,0,0.086439997,0,156,9,-92.81281667,28.343975
40,41,28.407,-92.728,1706,7/1/2011,11:26:02,257,7,L,CW,Shrimp Trawler,1,Anchored,NA,NA,NA,NA,NA,NA,NA,"On the cross, resights of 250 and 251",NA,On the Cross,NA,C,2,2,NA,NA,NA,NA,1,-64.3213,-64.32133734,1706,7/1/2011,0.476412037,0.23,0.02279667,1.16,0.02279667,3.01,0.02279667,33.58,0.02279667,29.26,0.02279667,0,0,0,0,0,0,0.466039985,0,0,0,28.79448891,28.50331116,27.92884636,29.67519188,29.42848015,29.30010414,0,0,0,0,0,0,0.067610003,0,156,10,-92.81281667,28.343975
