a_lat,a_lon,Identifyin,Distance
27.62100000000,-93.08000000000,1592,2.01351173
27.98800000000,-91.22400000000,1120,1.09993919
28.04300000000,-91.28100000000,1123,1.06302756
28.15700000000,-91.39400000000,1128,0.99907312
28.24800000000,-90.39900000000,395,0.80157253
28.27700000000,-90.42100000000,396,0.77237820
28.27700000000,-90.42100000000,397,0.77237820
28.29400000000,-90.88500000000,488,0.74809038
28.31000000000,-90.48000000000,424,0.74187110
28.31000000000,-90.39800000000,394,0.73961375
28.31100000000,-90.54200000000,425,0.74821544
28.31100000000,-90.45700000000,423,0.73935472
28.31300000000,-91.21500000000,391,0.78604006
28.31300000000,-91.21500000000,390,0.78604006
28.31800000000,-91.07500000000,592,0.74449998
28.32600000000,-90.95400000000,487,0.72061183
28.33100000000,-90.65400000000,429,0.71504854
28.33400000000,-90.87500000000,486,0.70753486
28.33400000000,-90.66800000000,430,0.71040361
28.34300000000,-90.67700000000,431,0.70051695
28.35400000000,-91.43500000000,422,0.84858684
28.35800000000,-93.56700000000,903,1.34651775
28.36700000000,-90.66400000000,432,0.67808303
28.36900000000,-94.09700000000,808,1.14731444
28.37200000000,-91.05600000000,491,0.68774221
28.37500000000,-93.61400000000,902,1.32114681
28.38700000000,-90.33600000000,392,0.66719146
28.38700000000,-90.33600000000,389,0.66719146
28.38900000000,-92.60000000000,1711,1.17680666
28.39200000000,-92.66400000000,1709,1.18371334
28.39300000000,-92.57600000000,1713,1.16869075
28.39700000000,-92.68000000000,1708,1.18077281
28.40300000000,-92.78200000000,1704,1.18921624
28.40400000000,-92.12400000000,1196,1.10986723
28.40500000000,-92.26800000000,977,1.12752938
28.40500000000,-91.36700000000,157,0.76871000
28.40600000000,-92.48300000000,1718,1.13992968
28.40600000000,-92.48200000000,635,1.13978725
28.40600000000,-92.48200000000,635,1.13978725
28.40600000000,-91.77000000000,1398,0.97480634
28.40700000000,-92.72800000000,1706,1.17733539
28.40900000000,-92.71000000000,1707,1.17292552
28.40900000000,-90.46900000000,421,0.64231532
28.41300000000,-92.09900000000,597,1.09510390
28.41300000000,-91.61200000000,561,0.89908819
28.41500000000,-92.10300000000,1199,1.09409241
28.41900000000,-92.12800000000,980,1.09637672
28.42000000000,-89.83800000000,1005,0.65443045
28.42300000000,-92.10700000000,982,1.08727329
28.42400000000,-92.18300000000,979,1.10705087
28.42400000000,-90.86000000000,482,0.61670855
28.42500000000,-92.07700000000,494,1.07849985
28.42700000000,-93.36700000000,754,1.33326345
28.42700000000,-91.50000000000,558,0.82984268
28.42900000000,-92.10200000000,598,1.08025258
28.43100000000,-90.68400000000,112,0.61225729
28.43400000000,-90.82300000000,114,0.60533908
28.43500000000,-90.86000000000,481,0.60573370
28.43700000000,-88.91400000000,340,0.58314961
28.43800000000,-92.47600000000,1721,1.10726041
28.43800000000,-92.13200000000,981,1.07908363
28.43800000000,-90.67500000000,1111,0.60627901
28.44400000000,-90.85000000000,480,0.59614628
28.44500000000,-92.73700000000,1700,1.14085753
28.44600000000,-92.74200000000,1699,1.14056908
28.44800000000,-90.66900000000,1109,0.59709104
28.44900000000,-90.77800000000,1119,0.59154146
28.44900000000,-90.70700000000,1110,0.59232599
28.45000000000,-93.43700000000,756,1.29062128
28.45000000000,-93.41100000000,907,1.29889721
28.45100000000,-91.63000000000,562,0.87105503
28.45400000000,-90.88300000000,116,0.58839972
28.45600000000,-93.39400000000,908,1.29891688
28.45700000000,-92.08100000000,984,1.04815863
28.45800000000,-91.22900000000,1188,0.65646960
28.45900000000,-90.87800000000,478,0.58301553
28.45900000000,-90.41800000000,85,0.59037551
28.46000000000,-90.88400000000,477,0.58250677
28.46200000000,-90.89900000000,476,0.58200818
28.46400000000,-91.11200000000,495,0.61111403
28.46500000000,-90.78100000000,479,0.57540189
28.46800000000,-92.31100000000,974,1.06426553
28.46900000000,-90.89200000000,117,0.57429918
28.47200000000,-91.22300000000,1189,0.64124178
28.47500000000,-90.84800000000,118,0.56508415
28.47600000000,-92.07000000000,986,1.02719385
28.47600000000,-91.11700000000,1183,0.60091044
28.47800000000,-91.26700000000,1191,0.65532488
28.48200000000,-90.76700000000,1121,0.55812745
28.48400000000,-92.72600000000,1698,1.10072577
28.48400000000,-90.87500000000,475,0.55786074
28.48600000000,-91.15300000000,1185,0.60227259
28.48800000000,-92.97100000000,1591,1.14631016
28.48800000000,-91.16700000000,1186,0.60510070
28.48900000000,-93.37400000000,910,1.27141332
28.49000000000,-93.41000000000,911,1.26150578
28.49100000000,-92.14100000000,1204,1.03062404
28.49100000000,-92.14100000000,1204,1.03062404
