id,a_lat,a_lon,Identifyin,,dist_shore
1,27.621,-93.08,1592,,200.1
2,27.988,-91.224,1120,,109.2
3,28.043,-91.281,1123,,105.6
4,28.358,-93.567,903,,135.1
5,28.369,-94.097,808,,114
6,28.375,-93.614,902,,132.5
7,28.389,-92.6,1711,,117.4
8,28.392,-92.664,1709,,118.2
9,28.393,-92.576,1713,,116.5
10,28.397,-92.68,1708,,117.7
11,28.403,-92.782,1704,,117.9
12,28.406,-92.483,1718,,113.2
13,28.406,-92.482,635,,113.2
14,28.406,-92.482,635,,113.2
15,28.407,-92.728,1706,,117
16,28.409,-92.71,1707,,116.7
17,28.404,-92.124,1196,,112.1
18,28.405,-92.268,977,,111.4
19,28.406,-91.77,1398,,96.2
20,28.157,-91.394,1128,,99.4
21,28.313,-91.215,391,,77.9
22,28.313,-91.215,390,,77.9
23,28.318,-91.075,592,,73.8
24,28.354,-91.435,422,,84.6
25,28.372,-91.056,491,,68.1
26,28.405,-91.367,157,,76.6
27,28.294,-90.885,488,,75
28,28.31,-90.48,424,,73.5
29,28.311,-90.542,425,,73.9
30,28.311,-90.457,423,,73.3
31,28.326,-90.954,487,,71.8
32,28.331,-90.654,429,,71.3
33,28.334,-90.875,486,,71
34,28.334,-90.668,430,,70.9
35,28.343,-90.677,431,,69.9
36,28.367,-90.664,432,,67.6
37,28.409,-90.469,421,,63.6
38,28.248,-90.399,395,,79.6
39,28.277,-90.421,396,,76.7
40,28.277,-90.421,397,,76.7
41,28.31,-90.398,394,,73.4
42,28.387,-90.336,392,,65.8
43,28.387,-90.336,389,,65.8
44,28.537,-93.665,898,,115.7
45,28.612,-93.666,897,,108.3
46,28.631,-93.858,815,,103.1
47,28.427,-93.367,754,,132.6
48,28.45,-93.437,756,,129.8
49,28.45,-93.411,907,,130.5
50,28.456,-93.394,908,,129.8
51,28.488,-92.971,1591,,113.4
52,28.489,-93.374,910,,126.4
53,28.49,-93.41,911,,126.5
54,28.492,-93.494,757,,124
55,28.497,-93.325,751,,125.4
56,28.497,-92.909,1595,,110.9
57,28.503,-92.988,1589,,112.5
58,28.503,-92.902,1596,,110.1
59,28.506,-93.429,913,,124.8
60,28.508,-93.42,914,,124.7
61,28.512,-93.415,915,,124.3
62,28.515,-93.443,916,,123.5
63,28.522,-92.996,1588,,110.9
64,28.527,-93.3,749,,121.7
65,28.532,-92.965,730,,109
66,28.537,-93.402,917,,121.7
67,28.539,-93.302,748,,120.6
68,28.542,-93.104,732,,113
69,28.543,-93.367,918,,121
70,28.548,-93.183,734,,115.6
71,28.548,-93.133,733,,113.6
72,28.556,-93.299,747,,118.9
73,28.559,-93.299,746,,118.7
74,28.561,-93.299,745,,118.5
75,28.57,-93.413,919,,118.5
76,28.58,-93.207,735,,113.5
77,28.582,-93.297,744,,116.4
78,28.587,-92.991,729,,104.6
79,28.598,-93.328,921,,115.5
80,28.6,-93.274,743,,113.9
81,28.603,-93.261,742,,113.2
82,28.614,-93.267,741,,112.4
83,28.617,-93.175,737,,108.9
84,28.625,-93.191,738,,108.7
85,28.634,-93.267,740,,110.5
86,28.634,-92.936,728,,98.4
87,28.438,-92.476,1721,,110
88,28.445,-92.737,1700,,113.3
89,28.446,-92.742,1699,,113.2
90,28.468,-92.311,974,,105.1
91,28.484,-92.726,1698,,109.3
92,28.508,-92.871,1598,,109
93,28.54,-92.31,972,,97.9
94,28.544,-92.817,1599,,104.4
95,28.55,-92.781,679,,103.3
96,28.569,-92.812,1601,,101.9
97,28.576,-92.709,1694,,100
98,28.581,-92.866,681,,101.7
99,28.586,-92.704,676,,99
100,28.593,-92.797,680,,99.3
101,28.602,-92.694,675,,97.3
102,28.61,-92.424,1727,,92.1
103,28.611,-92.682,1691,,96.4
104,28.614,-92.688,674,,96.1
105,28.617,-92.435,1728,,91.6
106,28.625,-92.683,1689,,95
107,28.644,-92.657,1687,,93
108,28.656,-92.659,1686,,91.8
109,28.666,-92.543,642,,89.2
110,28.413,-92.099,597,,110.6
111,28.415,-92.103,1199,,110.5
112,28.419,-92.128,980,,110.7
113,28.423,-92.107,982,,109.8
114,28.424,-92.183,979,,109.8
115,28.425,-92.077,494,,108.9
116,28.429,-92.102,598,,109.1
117,28.438,-92.132,981,,109
118,28.457,-92.081,984,,105.9
119,28.476,-92.07,986,,103.8
120,28.491,-92.141,1204,,103.6
121,28.491,-92.141,1204,,103.6
122,28.536,-92.051,601,,97.5
123,28.543,-92.198,1373,,97.9
124,28.549,-92.246,631,,97
125,28.564,-92.004,602,,93.8
126,28.614,-91.793,591,,80.8
127,28.628,-92.203,969,,89.3
128,28.631,-92.019,603,,87.5
129,28.413,-91.612,561,,88.3
130,28.427,-91.5,558,,83
131,28.451,-91.63,562,,85.5
132,28.458,-91.229,1188,,65.1
133,28.464,-91.112,495,,60.4
134,28.472,-91.223,1189,,63.6
135,28.476,-91.117,1183,,59.4
136,28.478,-91.267,1191,,65.1
137,28.486,-91.153,1185,,59.6
138,28.488,-91.167,1186,,59.9
139,28.496,-91.24,1192,,62.2
140,28.499,-91.114,496,,57.1
141,28.504,-91.194,1187,,59.5
142,28.504,-91.164,1184,,58.3
143,28.516,-91.077,514,,54.4
144,28.521,-91.281,1193,,62.2
145,28.525,-91.603,1402,,77.7
146,28.534,-91.33,553,,63.9
147,28.537,-91.237,1194,,58.5
148,28.54,-91.267,1195,,59.8
149,28.542,-91.162,1180,,54.7
150,28.542,-91.108,497,,52.8
151,28.546,-91.15,1179,,53.9
152,28.552,-91.199,502,,55.4
153,28.552,-91.199,501,,55.4
154,28.552,-91.199,504,,55.4
155,28.552,-91.199,500,,55.4
156,28.552,-91.199,507,,55.4
157,28.552,-91.199,503,,55.4
158,28.552,-91.199,506,,55.4
