,a_lat,a_lon,cdom,chloro,oxy,salt,temp
1,27.621,-93.08,0.23,1.16,2.69,33.49,29.3
2,27.988,-91.224,0.21,1.15,3.62,34.13,29.52
3,28.043,-91.281,0.21,1.15,3.59,34.1,29.51
4,28.157,-91.394,0.21,1.15,3.53,34.05,29.48
5,28.248,-90.399,0.23,1.17,2.65,33.96,29.32
6,28.277,-90.421,0.19,1.15,2.23,34.79,29.46
7,28.277,-90.421,0.19,1.15,2.23,34.79,29.46
8,28.294,-90.885,0.22,1.16,3.67,33.98,29.63
9,28.31,-90.48,0.16,1.14,2.13,35.3,29.57
10,28.31,-90.398,0.23,1.17,2.65,33.96,29.32
11,28.311,-90.542,0.16,1.14,2.13,35.3,29.57
12,28.311,-90.457,0.19,1.15,2.23,34.79,29.46
13,28.313,-91.215,0.21,1.15,3.62,34.13,29.52
14,28.313,-91.215,0.21,1.15,3.62,34.13,29.52
15,28.318,-91.075,0.21,1.15,3.67,34.18,29.54
16,28.326,-90.954,0.21,1.16,3.69,34.05,29.6
17,28.331,-90.654,0.27,1.18,2.78,32.78,29.85
18,28.334,-90.875,0.22,1.16,3.67,33.98,29.63
19,28.334,-90.668,NA,NA,NA,NA,NA
20,28.343,-90.677,0.27,1.18,2.78,32.78,29.85
21,28.354,-91.435,0.21,1.15,3.53,34.05,29.48
22,28.358,-93.567,0.22,1.15,2.6,33.65,29.15
23,28.367,-90.664,0.27,1.18,2.78,32.78,29.85
24,28.369,-94.097,NA,NA,NA,NA,NA
25,28.372,-91.056,0.21,1.15,3.67,34.18,29.54
26,28.375,-93.614,NA,NA,NA,NA,NA
27,28.387,-90.336,0.23,1.17,2.65,33.96,29.32
28,28.387,-90.336,0.23,1.17,2.65,33.96,29.32
29,28.389,-92.6,0.22,1.15,3.06,33.63,29.28
30,28.392,-92.664,NA,NA,NA,NA,NA
31,28.393,-92.576,0.22,1.15,3.06,33.63,29.28
32,28.397,-92.68,0.23,1.15,3.03,33.6,29.27
33,28.403,-92.782,0.23,1.16,3.01,33.58,29.26
34,28.404,-92.124,0.22,1.15,3.26,33.8,29.36
35,28.405,-92.268,0.22,1.15,3.2,33.75,29.34
36,28.405,-91.367,0.21,1.15,3.56,34.08,29.49
37,28.406,-92.483,NA,NA,NA,NA,NA
38,28.406,-92.482,0.22,1.15,3.12,33.68,29.31
39,28.406,-92.482,0.22,1.15,3.12,33.68,29.31
40,28.406,-91.77,0.21,1.15,3.4,33.93,29.42
41,28.407,-92.728,0.23,1.16,3.01,33.58,29.26
42,28.409,-92.71,0.23,1.15,3.03,33.6,29.27
43,28.409,-90.469,0.19,1.15,2.23,34.79,29.46
44,28.413,-92.099,0.22,1.15,3.26,33.8,29.36
45,28.413,-91.612,0.21,1.15,3.45,33.98,29.45
46,28.415,-92.103,0.22,1.15,3.26,33.8,29.36
47,28.419,-92.128,0.22,1.15,3.26,33.8,29.36
48,28.42,-89.838,0.61,1.27,3.01,26.43,29.58
49,28.423,-92.107,0.22,1.15,3.26,33.8,29.36
50,28.424,-92.183,0.22,1.15,3.23,33.78,29.35
51,28.424,-90.86,0.22,1.16,3.67,33.98,29.63
52,28.425,-92.077,0.22,1.15,3.28,33.83,29.38
53,28.427,-93.367,0.23,1.16,2.76,33.35,29.15
54,28.427,-91.5,0.21,1.15,3.51,34.03,29.47
55,28.429,-92.102,0.22,1.15,3.26,33.8,29.36
56,28.431,-90.684,0.27,1.18,2.78,32.78,29.85
57,28.434,-90.823,0.21,1.17,3.44,34.13,29.8
58,28.435,-90.86,0.22,1.16,3.67,33.98,29.63
59,28.437,-88.914,0.25,1.17,3.7,32.84,29.47
60,28.438,-92.476,0.24,1.16,3.19,33.3,29.27
61,28.438,-92.132,0.24,1.16,3.33,33.43,29.33
62,28.438,-90.675,NA,NA,NA,NA,NA
63,28.444,-90.85,0.24,1.18,3.18,32.97,29.87
64,28.445,-92.737,0.25,1.16,3.08,33.2,29.23
65,28.446,-92.742,0.25,1.16,3.08,33.2,29.23
66,28.448,-90.669,0.29,1.17,1.98,32.28,29.62
67,28.449,-90.778,0.26,1.18,3.05,32.87,29.82
68,28.449,-90.707,0.25,1.17,2.52,33.19,29.53
69,28.45,-93.437,NA,NA,NA,NA,NA
70,28.45,-93.411,0.25,1.16,2.83,32.98,29.12
71,28.451,-91.63,NA,NA,NA,NA,NA
72,28.454,-90.883,0.24,1.18,3.18,32.97,29.87
73,28.456,-93.394,0.25,1.16,2.83,32.98,29.12
74,28.457,-92.081,0.24,1.16,3.36,33.45,29.34
75,28.458,-91.229,0.23,1.16,3.69,33.75,29.49
76,28.459,-90.878,0.24,1.18,3.18,32.97,29.87
77,28.459,-90.418,NA,NA,NA,NA,NA
78,28.46,-90.884,0.24,1.18,3.18,32.97,29.87
79,28.462,-90.899,0.25,1.17,2.81,33.78,29.24
80,28.464,-91.112,0.23,1.16,3.69,33.78,29.5
81,28.465,-90.781,0.26,1.18,3.05,32.87,29.82
82,28.468,-92.311,0.24,1.16,3.25,33.35,29.3
83,28.469,-90.892,0.24,1.18,3.18,32.97,29.87
84,28.472,-91.223,0.23,1.16,3.69,33.75,29.49
85,28.475,-90.848,0.24,1.18,3.18,32.97,29.87
86,28.476,-92.07,0.24,1.16,3.36,33.45,29.34
87,28.476,-91.117,0.23,1.16,3.69,33.78,29.5
88,28.478,-91.267,0.23,1.16,3.66,33.73,29.47
