,a_lat,a_lon,Identifying_Number
1,27.621,-93.08,1592
2,27.988,-91.224,1120
3,28.043,-91.281,1123
4,28.157,-91.394,1128
5,28.248,-90.399,395
6,28.277,-90.421,396
7,28.277,-90.421,397
8,28.294,-90.885,488
9,28.31,-90.48,424
10,28.31,-90.398,394
11,28.311,-90.542,425
12,28.311,-90.457,423
13,28.313,-91.215,391
14,28.313,-91.215,390
15,28.318,-91.075,592
16,28.326,-90.954,487
17,28.331,-90.654,429
18,28.334,-90.875,486
19,28.334,-90.668,430
20,28.343,-90.677,431
21,28.354,-91.435,422
22,28.358,-93.567,903
23,28.367,-90.664,432
24,28.369,-94.097,808
25,28.372,-91.056,491
26,28.375,-93.614,902
27,28.387,-90.336,392
28,28.387,-90.336,389
29,28.389,-92.6,1711
30,28.392,-92.664,1709
31,28.393,-92.576,1713
32,28.397,-92.68,1708
33,28.403,-92.782,1704
34,28.404,-92.124,1196
35,28.405,-92.268,977
36,28.405,-91.367,157
37,28.406,-92.483,1718
38,28.406,-92.482,635
39,28.406,-92.482,635
40,28.406,-91.77,1398
41,28.407,-92.728,1706
42,28.409,-92.71,1707
43,28.409,-90.469,421
44,28.413,-92.099,597
45,28.413,-91.612,561
46,28.415,-92.103,1199
47,28.419,-92.128,980
48,28.42,-89.838,1005
49,28.423,-92.107,982
50,28.424,-92.183,979
51,28.424,-90.86,482
52,28.425,-92.077,494
53,28.427,-93.367,754
54,28.427,-91.5,558
55,28.429,-92.102,598
56,28.431,-90.684,112
57,28.434,-90.823,114
58,28.435,-90.86,481
59,28.437,-88.914,340
60,28.438,-92.476,1721
61,28.438,-92.132,981
62,28.438,-90.675,1111
63,28.444,-90.85,480
64,28.445,-92.737,1700
65,28.446,-92.742,1699
66,28.448,-90.669,1109
67,28.449,-90.778,1119
68,28.449,-90.707,1110
69,28.45,-93.437,756
70,28.45,-93.411,907
71,28.451,-91.63,562
72,28.454,-90.883,116
73,28.456,-93.394,908
74,28.457,-92.081,984
75,28.458,-91.229,1188
76,28.459,-90.878,478
77,28.459,-90.418,85
78,28.46,-90.884,477
79,28.462,-90.899,476
80,28.464,-91.112,495
81,28.465,-90.781,479
82,28.468,-92.311,974
83,28.469,-90.892,117
84,28.472,-91.223,1189
85,28.475,-90.848,118
86,28.476,-92.07,986
87,28.476,-91.117,1183
88,28.478,-91.267,1191
89,28.482,-90.767,1121
90,28.484,-92.726,1698
91,28.484,-90.875,475
92,28.486,-91.153,1185
93,28.488,-92.971,1591
94,28.488,-91.167,1186
95,28.489,-93.374,910
96,28.49,-93.41,911
97,28.491,-92.141,1204
98,28.491,-92.141,1204
99,28.492,-93.494,757
100,28.496,-91.24,1192
101,28.497,-93.325,751
102,28.497,-92.909,1595
103,28.499,-91.114,496
104,28.499,-90.761,1122
105,28.503,-92.988,1589
106,28.503,-92.902,1596
107,28.504,-91.194,1187
108,28.504,-91.164,1184
109,28.506,-93.429,913
110,28.508,-93.42,914
111,28.508,-92.871,1598
112,28.512,-93.415,915
113,28.512,-90.774,1125
114,28.514,-90.673,1107
115,28.515,-93.443,916
116,28.516,-91.077,514
117,28.519,-90.715,109
118,28.519,-90.26,84
119,28.521,-91.281,1193
120,28.522,-92.996,1588
121,28.525,-91.603,1402
122,28.527,-93.3,749
123,28.529,-90.681,1106
124,28.532,-92.965,730
125,28.534,-91.33,553
126,28.536,-92.051,601
127,28.536,-90.776,108
128,28.537,-93.665,898
129,28.537,-93.402,917
130,28.537,-91.237,1194
131,28.539,-93.302,748
132,28.54,-92.31,972
133,28.54,-91.267,1195
134,28.542,-93.104,732
135,28.542,-91.162,1180
136,28.542,-91.108,497
137,28.543,-93.367,918
138,28.543,-92.198,1373
139,28.544,-92.817,1599
140,28.546,-91.15,1179
141,28.548,-93.183,734
