Rowid,AS_LOCATIONS2011,X,Y,A2011175_chloro,A2011176_chloro,A2011177_chloro,A2011178_chloro,A2011179_chloro,A2011180_chloro,A2011181_chloro,A2011182_chloro
1,1985192381,-88.35048165,30.2496758,0,0,0,0,0,0,0,0
2,1985192381,-88.17023661,30.24560384,0,0,0,0,0,0,0,0
3,1985192381,-88.35020164,30.23735548,0,0,0,0,0,0,0,0
4,1985192381,-87.99446667,30.22893382,0,0,0,0,0,0,0,0
5,1985192381,-87.99348333,30.22678507,0,0,0,0,0,0,0,0
6,1985192381,-88.06438031,30.22433838,0,0,0,0,0,0,0,0
7,1985192381,-88.1197994,30.22352506,0,0,0,0,0,0,0,0
8,1985192381,-89.11794444,30.22350556,0,0,0,0,0,0,0,0
9,1985192381,-88.19098666,30.22346328,0,0,0,0,0,0,0,0
10,1985192381,-88.2559,30.22241667,0,0,0,0,0,0,0,0
11,1985192381,-88.11194113,30.22229513,0,0,0,0,0,0,0,0
12,1985192381,-88.20782882,30.22193564,0,0,0,0,0,0,0,0
13,1985192381,-88.28897159,30.22032518,0,0,0,0,0,0,0,0
14,1985192381,-88.05531667,30.21895,0,0,0,0,0,0,0,0
15,1985192381,-88.36515061,30.21805816,0,0,0,0,0,0,0,0
16,1985192381,-88.37206667,30.19691667,0,0,0,0,0,0,0,0
17,1985192381,-87.99834779,30.1766438,0,0,0,0,0,0,0,0
18,1985192381,-87.99662153,30.16817861,0,0,0,0,0,0,0,0
19,1985192381,-87.99969333,30.14820705,0,0,0,0,0,0,0,0
20,1985192381,-88.36382478,30.1470594,0,0,0,0,0,0,0,0
21,1985192381,-88.36268333,30.1444,0,0,0,0,0,0,0,0
22,1985192381,-89.79545556,30.13569444,0,0,0,0,0,0,0,0
23,1985192381,-87.99872568,30.13420893,0,0,0,0,0,0,0,0
24,1985192381,-87.99997419,30.12553847,0,0,0,0,0,0,0,0
25,1985192381,-87.99997517,30.11620643,0,0,0,0,0,0,0,0
26,1985192381,-88.00198696,30.07539237,0,0,0,0,0,0,0,0
27,1985192381,-88.34748515,30.0672181,0,0,0,0,0,0,0,0
28,1985192381,-88.37036504,30.04875759,0,0,0,0,0,0,0,0
29,1985192381,-88.34741602,30.04126811,0,0,0,0,0,0,0,0
30,1985192381,-88.35161655,30.03537945,0,0,0,0,0,0,0,0
31,1985192381,-88.34761667,30.02316667,0,0,0,0,0,0,0,0
32,1985192381,-88.35829892,29.99877487,0,5.914720058,2.23281002,4.702610016,0,0,1.327579975,0
33,1985192381,-88.00078333,29.99236667,0,6.992949963,1.960559964,3.755259991,0,0,0,0
34,1985192381,-88.35022953,29.98503333,0,5.914720058,2.23281002,4.702610016,0,0,1.327579975,0
35,1985192381,-88.36059141,29.97438429,0,5.914720058,2.23281002,4.702610016,0,0,1.327579975,0
36,1985192381,-88.38421546,29.96297199,0,4.564680099,2.243880033,5.562839985,0,0,1.119910002,0
37,1985192381,-88.00104979,29.92486819,0,4.912230015,2.279870033,4.153930187,0,0,0,0
38,1985192381,-88.00295324,29.91682152,0,4.912230015,2.279870033,4.153930187,0,0,0,0
39,1985192381,-87.99951675,29.89119185,0,0,0,0,0,0,0,0
40,1985192381,-87.99707731,29.88593434,0,0,0,0,0,0,0,0
41,1985192381,-88.3157984,29.87316107,0,3.044369936,1.890779972,3.270450115,0,0,5.955460072,0
42,1985192381,-87.99650915,29.85502181,0,0,0,0,0,0,0,0
43,1985192381,-88.31176481,29.84782833,0,3.044369936,1.890779972,3.270450115,0,0,5.955460072,0
44,1985192381,-88.0005904,29.84723145,0,3.688339949,1.863360047,2.882590055,0,0,0,0
45,1985192381,-88.30768384,29.83081521,0,2.49864006,1.928179979,3.972860098,0,0,5.38451004,0
46,1985192381,-88.00245187,29.80661667,0,3.230429888,1.669989944,3.279050112,0,0,0,0
47,1985192381,-88.29848133,29.80191384,0,2.49864006,1.928179979,3.972860098,0,0,5.38451004,0
48,1985192381,-88.29344754,29.77418333,0,2.965430021,2.177680016,4.947480202,0,0,5.025000095,0
49,1985192381,-91.10316667,29.77203333,0,0,0,0,0,0,0,0
50,1985192381,-88.29826588,29.76746601,0,2.965430021,2.177680016,4.947480202,0,0,5.025000095,0
51,1985192381,-88.30594133,29.76730861,0,2.965430021,2.177680016,4.947480202,0,0,5.025000095,0
52,1985192381,-88.30594133,29.76730861,0,2.965430021,2.177680016,4.947480202,0,0,5.025000095,0
53,1985192381,-93.39941667,29.76198333,0,0,0,0,0,0,0,0
54,1985192381,-93.12013333,29.7579,0,0,0,0,0,0,0,0
55,1985192381,-88.29421751,29.74973467,0,0,4.575139999,5.822500229,0,0,5.440830231,0
56,1985192381,-88.00271673,29.73509887,0,0.823090017,2.483959913,10.3080101,0,0,0,0
57,1985192381,-93.64381667,29.73471667,0,0,0,0,0,0,0,0
58,1985192381,-93.71053333,29.73416667,0,0,0,0,0,0,0,0
59,1985192381,-93.63566517,29.73146137,0,0,0,0,0,0,0,0
60,1985192381,-93.78409931,29.70202828,0,0,0,0,29.09622955,0,0,0
61,1985192381,-93.81386667,29.69456667,0,0,0,0,29.09622955,0,0,0
62,1985192381,-88.28873634,29.69336721,0,0,9.395640373,8.255680084,0,0,0,0
63,1985192381,-92.90925,29.68441667,0,0,0,0,0,0,0,0
64,1985192381,-93.05706667,29.68203333,0,0,0,0,0,0,22.60802078,0
65,1985192381,-93.05706667,29.68203333,0,0,0,0,0,0,22.60802078,0
66,1985192381,-92.90095,29.6797,0,0,0,0,0,0,0,0
67,1985192381,-92.8969,29.675,0,0,0,0,0,0,0,0
68,1985192381,-93.85176667,29.67121667,0,0,0,0,0,0,0,0
69,1985192381,-93.85074237,29.67083307,0,0,0,0,0,0,0,0
70,1985192381,-88.28118333,29.66801667,0,0,9.395640373,8.255680084,0,0,0,0
71,1985192381,-92.87278333,29.66583333,0,0,0,0,0,0,0,0
72,1985192381,-92.88426185,29.66327631,0,0,0,0,0,0,0,0
73,1985192381,-93.85259482,29.65673313,0,0,0,0,32.89133835,42.91376877,46.21609116,0
74,1985192381,-93.11951667,29.6531,0,0,0,0,0,0,18.55631065,0
75,1985192381,-92.89643748,29.65282345,0,0,0,0,0,0,0,0
76,1985192381,-92.87077685,29.65061227,0,0,0,0,0,0,0,0
77,1985192381,-93.62475339,29.64981104,0,0,0,0,92.09937286,96.99360657,0,65.83133698
78,1985192381,-91.57223333,29.63183333,0,0,0,0,0,0,0,0
79,1985192381,-92.83865,29.62763333,0,0,0,0,0,0,0,0
80,1985192381,-93.64875666,29.61968241,0,0,0,0,25.95224953,72.03575134,0,58.93962097
81,1985192381,-91.615,29.61813333,0,0,0,0,0,0,0,0
82,1985192381,-93.39896667,29.61753333,0,0,0,0,55.79161072,15.69487953,68.62241364,33.44952011
83,1985192381,-92.90483333,29.6121,0,0,0,0,0,0,26.56340027,0
84,1985192381,-93.64435334,29.60980978,0,0,0,0,25.95224953,72.03575134,0,58.93962097
85,1985192381,-93.13486667,29.59948333,0,0,0,0,0,0,12.51673031,11.10933018
86,1985192381,-93.39913333,29.5945,0,0,0,0,55.79161072,15.69487953,68.62241364,33.44952011
87,1985192381,-92.7851,29.59051667,0,0,0,0,0,0,0,0
