Rowid,AS_LOCATIONS2011,X,Y,KD490_4KM_A20111,KD490_4KM_A201_1,KD490_4KM_A201_2,KD490_4KM_A201_3,KD490_4KM_A201_4,KD490_4KM_A201_5,KD490_4KM_A201_6,KD490_4KM_A201_7
1,7995464,-88.35048165,30.2496758,0,0,0,0,0,0,0,0
2,7995464,-88.17023661,30.24560384,0,0,0,0,0,0,0,0
3,7995464,-88.35020164,30.23735548,0,0,0,0,0,0,0,0
4,7995464,-87.99446667,30.22893382,0,0,0,0,0,0,0,0
5,7995464,-87.99348333,30.22678507,0,0,0,0,0,0,0,0
6,7995464,-88.06438031,30.22433838,0,0,0,0,0,0,0,0
7,7995464,-88.1197994,30.22352506,0,0,0,0,0,0,0,0
8,7995464,-89.11794444,30.22350556,0,0,0,0,0,0,0,0
9,7995464,-88.19098666,30.22346328,0,0,0,0,0,0,0,0
10,7995464,-88.2559,30.22241667,0,0,0,0,0,0,0,0
11,7995464,-88.11194113,30.22229513,0,0,0,0,0,0,0,0
12,7995464,-88.20782882,30.22193564,0,0,0,0,0,0,0,0
13,7995464,-88.28897159,30.22032518,0,0,0,0,0,0,0,0
14,7995464,-88.05531667,30.21895,0,0,0,0,0,0,0,0
15,7995464,-88.36515061,30.21805816,0,0,0,0,0,0,0,0
16,7995464,-88.37206667,30.19691667,0,0,0,0,0,0,0,0
17,7995464,-87.99834779,30.1766438,0,0,0,0,0,0,0,0
18,7995464,-87.99662153,30.16817861,0,0,0,0,0,0,0,0
19,7995464,-87.99969333,30.14820705,0,0,0,0,0,0,0,0
20,7995464,-88.36382478,30.1470594,0,0,0,0,0,0,0,0
21,7995464,-88.36268333,30.1444,0,0,0,0,0,0,0,0
22,7995464,-89.79545556,30.13569444,0,0,0,0,0,0,0,0
23,7995464,-87.99872568,30.13420893,0,0,0,0,0,0,0,0
24,7995464,-87.99997419,30.12553847,0,0,0,0,0,0,0,0
25,7995464,-87.99997517,30.11620643,0,0,0,0,0,0,0,0
