FID_1,Identifyin,Date,Time,a_Latitude,a_Longitud,FID_2,DECSLON,DECSLAT,DEPTH,Distance
831,855,6/29/2011,0.409351852,29.56940000000,-93.85598333000,38,-93.84800000000,29.58700000000,5.10000000000,0.01932598
832,856,6/29/2011,0.409768519,29.58786667000,-93.85798272000,38,-93.84800000000,29.58700000000,5.10000000000,0.01002027
839,863,6/29/2011,0.416157407,29.73471667000,-93.64381667000,49,-93.63800000000,29.72600000000,3.20000000000,0.01047922
840,864,6/29/2011,0.41625,29.73146137000,-93.63566517000,49,-93.63800000000,29.72600000000,3.20000000000,0.00593953
838,862,6/29/2011,0.414837963,29.73416667000,-93.71053333000,50,-93.68200000000,29.71000000000,3.70000000000,0.03739223
837,861,6/29/2011,0.413240741,29.70202828000,-93.78409931000,53,-93.78600000000,29.71100000000,1.60000000000,0.00917084
59,92,6/25/2011,0.342719907,28.95990060000,-90.50080827000,86,-90.49500000000,29.00500000000,8.00000000000,0.04547188
60,93,6/25/2011,0.343518519,28.99530000000,-90.50370000000,86,-90.49500000000,29.00500000000,8.00000000000,0.01302997
61,94,6/25/2011,0.344560185,29.04416706000,-90.49982721000,86,-90.49500000000,29.00500000000,8.00000000000,0.03946341
62,95,6/25/2011,0.345324074,29.06562601000,-90.53119477000,86,-90.49500000000,29.00500000000,8.00000000000,0.07060860
63,96,6/25/2011,0.345671296,29.05428124000,-90.54967109000,86,-90.49500000000,29.00500000000,8.00000000000,0.07360414
64,97,6/25/2011,0.345960648,29.06474569000,-90.56205319000,86,-90.49500000000,29.00500000000,8.00000000000,0.08980912
65,98,6/25/2011,0.347071759,29.06297563000,-90.61818850000,86,-90.49500000000,29.00500000000,8.00000000000,0.13614911
66,99,6/25/2011,0.350671296,29.07151643000,-90.63953581000,86,-90.49500000000,29.00500000000,8.00000000000,0.15910699
67,100,6/25/2011,0.351145833,29.04490579000,-90.65610436000,86,-90.49500000000,29.00500000000,8.00000000000,0.16597315
68,101,6/25/2011,0.351203704,29.09115011000,-90.66836002000,86,-90.49500000000,29.00500000000,8.00000000000,0.19358600
69,102,6/25/2011,0.351342593,29.05523850000,-90.66772437000,86,-90.49500000000,29.00500000000,8.00000000000,0.17988223
